model,dataset,int8_size_bytes,int8_ram_bytes,fp32_parity_percent,int8_parity_percent,int8_top1_match,pico_ram_fit_264kb,output_dir
deepconvlstm,daphnet,865304,401972,99.99999612782375,98.4039522029362,True,False,/mnt/c/Users/Xeron/Desktop/MandalTinyDLAlgorithm/SensorNanoMamba/MicroBiConvLSTM/edge_exports/paper_retrain_seed29_20260502_140725/deepconvlstm/daphnet
deepconvlstm,motionsense,1961048,672012,99.99995240610528,24.181919703907116,True,False,/mnt/c/Users/Xeron/Desktop/MandalTinyDLAlgorithm/SensorNanoMamba/MicroBiConvLSTM/edge_exports/paper_retrain_seed29_20260502_140725/deepconvlstm/motionsense
deepconvlstm,opportunity,1985192,715974,99.99999127675336,95.74195826671541,True,False,/mnt/c/Users/Xeron/Desktop/MandalTinyDLAlgorithm/SensorNanoMamba/MicroBiConvLSTM/edge_exports/paper_retrain_seed29_20260502_140725/deepconvlstm/opportunity
deepconvlstm,pamap2,1965760,679920,99.99999529873084,98.13626765030007,True,False,/mnt/c/Users/Xeron/Desktop/MandalTinyDLAlgorithm/SensorNanoMamba/MicroBiConvLSTM/edge_exports/paper_retrain_seed29_20260502_140725/deepconvlstm/pamap2
deepconvlstm,skoda,1403840,557666,99.99999617759198,97.64878586842514,True,False,/mnt/c/Users/Xeron/Desktop/MandalTinyDLAlgorithm/SensorNanoMamba/MicroBiConvLSTM/edge_exports/paper_retrain_seed29_20260502_140725/deepconvlstm/skoda
deepconvlstm,ucihar,1962008,673740,99.99999097666824,98.65932132128106,True,False,/mnt/c/Users/Xeron/Desktop/MandalTinyDLAlgorithm/SensorNanoMamba/MicroBiConvLSTM/edge_exports/paper_retrain_seed29_20260502_140725/deepconvlstm/ucihar
deepconvlstm,unimib,1961240,672478,99.99999058861965,90.31139476882994,False,False,/mnt/c/Users/Xeron/Desktop/MandalTinyDLAlgorithm/SensorNanoMamba/MicroBiConvLSTM/edge_exports/paper_retrain_seed29_20260502_140725/deepconvlstm/unimib
deepconvlstm,wisdm,1960088,670284,99.99999526979637,96.04841514432812,True,False,/mnt/c/Users/Xeron/Desktop/MandalTinyDLAlgorithm/SensorNanoMamba/MicroBiConvLSTM/edge_exports/paper_retrain_seed29_20260502_140725/deepconvlstm/wisdm
microbi,daphnet,155096,40514,99.99998161266497,98.60243738520211,True,True,/mnt/c/Users/Xeron/Desktop/MandalTinyDLAlgorithm/SensorNanoMamba/MicroBiConvLSTM/edge_exports/paper_retrain_seed29_20260502_140725/microbi/daphnet
microbi,motionsense,301112,70566,99.99998386094802,97.33711445586111,True,True,/mnt/c/Users/Xeron/Desktop/MandalTinyDLAlgorithm/SensorNanoMamba/MicroBiConvLSTM/edge_exports/paper_retrain_seed29_20260502_140725/microbi/motionsense
